Request id,Pickup point,Drop point,Request timestamp,Start timestamp,Drop timestamp,Trip Cost,Extra Tip,Driver id,Trip Status,Ride Type,Payment Method,Weather
4386,Majestic Bus Station,Bangalore Palace,2021-07-13 0:00:24,,,0,0,61,Trip Cancelled,UberXL,,Clear
4387,Lalbagh Botanical Garden,Indiranagar,2021-07-13 0:02:14,2021-07-13 0:16:00,2021-07-13 0:26:14,111.38,0,17,Trip Completed,UberGo,Cash,Cloudy
4388,Lalbagh Botanical Garden,Kormangala Police Station,2021-07-13 0:06:34,2021-07-13 0:14:01,2021-07-13 2:01:34,89,25,21,Trip Completed,UberXL,Card,Clear
4389,Majestic Bus Station,ISKCON Temple,2021-07-13 0:07:31,,,0,0,,No Cars Available,UberXL,,Rainy
4390,Bangalore City Railway Station,Lalbagh Botanical Garden,2021-07-13 0:07:58,2021-07-13 0:20:21,2021-07-13 0:40:58,307.4,25,35,Trip Completed,UberGo,Cash,Rainy
4391,Manyata Tech Park,Kempegowda International Airport (KIAL),2021-07-13 0:08:23,2021-07-13 0:12:48,2021-07-13 0:44:23,379.75,40,84,Trip Completed,UberGo,UPI,Clear
4392,MG Road,Koramangala Boho Street,2021-07-13 0:12:33,2021-07-13 0:15:22,2021-07-13 1:15:33,88.38,25,13,Trip Completed,UberXL,Card,Clear
4393,Orion Mall,Kormangala Police Station,2021-07-13 0:14:40,2021-07-13 0:28:31,2021-07-13 1:39:40,197.13,25,9,Trip Completed,UberX,Card,Clear
4394,Phoenix Marketcity,KR Puram Railway Station,2021-07-13 0:16:12,2021-07-13 0:24:41,2021-07-13 1:01:12,334.13,0,50,Trip Completed,UberXL,UPI,Rainy
4395,UB City,Lalbagh Botanical Garden,2021-07-13 0:24:18,,,0,0,2,Trip Cancelled,UberXL,,Clear
4396,Whitefield,Majestic Bus Station,2021-07-13 0:26:02,2021-07-13 0:29:06,2021-07-13 0:42:02,286.63,25,27,Trip Completed,UberXL,Cash,Cloudy
4397,Bangalore City Railway Station,Majestic Bus Station,2021-07-13 0:31:02,2021-07-13 0:38:38,2021-07-13 1:39:02,45,0,52,Trip Completed,UberXL,UPI,Clear
4398,KR Puram Railway Station,Cubbon Park,2021-07-13 0:34:03,2021-07-13 0:43:13,2021-07-13 1:45:03,216.38,25,47,Trip Completed,UberGo,Cash,Cloudy
4399,Indiranagar,Koramangala Boho Street,2021-07-13 0:42:20,2021-07-13 0:50:39,2021-07-13 2:09:20,108.75,0,47,Trip Completed,UberXL,UPI,Clear
4400,KR Puram Railway Station,Embassy Tech Village,2021-07-13 0:44:02,,,0,0,69,Trip Cancelled,UberX,,Clear
4401,Bangalore Palace,Manyata Tech Park,2021-07-13 0:44:18,2021-07-13 0:48:33,2021-07-13 1:54:18,490.86,25,66,Trip Completed,UberGo,Cash,Rainy
4402,Brigade Road,MG Road,2021-07-13 0:48:15,2021-07-13 0:50:57,2021-07-13 1:45:15,45,0,29,Trip Completed,UberX,Cash,Cloudy
4403,BTM Layout,Orion Mall,2021-07-13 0:49:46,,,0,0,94,Trip Cancelled,UberX,,Cloudy
4404,Church Street,Phoenix Marketcity,2021-07-13 0:50:15,,,0,0,,Trip Cancelled,UberX,,Cloudy
4405,Cubbon Park,UB City,2021-07-13 0:50:22,2021-07-13 0:56:01,2021-07-13 2:39:22,171.72,0,5,Trip Completed,UberX,Card,Rainy
4406,Ejipura,Whitefield,2021-07-13 0:55:59,2021-07-13 1:07:13,2021-07-13 2:05:59,237,25,38,Trip Completed,UberGo,Cash,Cloudy
